simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
406,onc_0406,1710,1133,821,heated
407,onc_0407,1399,1417,962.5,heated
408,onc_0408,2568,1306,1072,heated
409,onc_0409,2292,1369,1294,unheated
410,onc_0410,1971,1325,922,heated
411,onc_0411,2960,1155,961.5,heated
412,onc_0412,2173,1437,1184,heated
413,onc_0413,2551,1278,1198,unheated
414,onc_0414,1939,1010.5,759.5,heated
415,onc_0415,2177,1316,1313,unheated
416,onc_0416,2693,1216,1149,unheated
417,onc_0417,2312,960.5,665,heated
418,onc_0418,1329,1441,951.5,heated
419,onc_0419,2964,1169,785.5,heated
420,onc_0420,1749,1441,1012.5,heated
421,onc_0421,1660,1371,1075,heated
422,onc_0422,2194,992,677.5,heated
423,onc_0423,1697,1349,1127,heated
424,onc_0424,2888,893.5,603.5,heated
425,onc_0425,1434,1428,1085,heated
426,onc_0426,3163,914.5,828.5,unheated
427,onc_0427,3195,1023.5,995,unheated
428,onc_0428,3418,1068,733,heated
429,onc_0429,1414,1396,949,heated
430,onc_0430,1652,1346,967.5,heated
431,onc_0431,2012,1087,764.5,heated
432,onc_0432,2434,1244,1195,unheated
433,onc_0433,2351,1186,800,heated
434,onc_0434,2180,984.5,675.5,heated
435,onc_0435,1675,1254,841.5,heated
436,onc_0436,2444,968.5,682.5,heated
437,onc_0437,3031,892,660,heated
438,onc_0438,1781,1412,913,heated
439,onc_0439,1914,1434,974.5,heated
440,onc_0440,1263,1483,964.5,heated
441,onc_0441,2107,1016,730.5,heated
442,onc_0442,1360,1478,1064,heated
443,onc_0443,3536,1033,774.5,heated
444,onc_0444,2291,1414,1215,heated
445,onc_0445,1768,1236,869,heated
446,onc_0446,1920,1064,705.5,heated
447,onc_0447,1956,1359,883,heated
448,onc_0448,2149,994.5,714,heated
449,onc_0449,1529,1127,852.5,heated
450,onc_0450,2869,1228,846.5,heated
451,onc_0451,2465,961,678.5,heated
452,onc_0452,2033,1453,925,heated
453,onc_0453,2289,1221,798.5,heated
454,onc_0454,3502,1029,808,heated
455,onc_0455,1951,1159,867,heated
456,onc_0456,3616,1021.5,673.5,heated
457,onc_0457,1514,1246,795.5,heated
458,onc_0458,1882,1086,767.5,heated
459,onc_0459,1912,1217,878,heated
460,onc_0460,2294,1326,1190,heated
461,onc_0461,1792,1342,1186,heated
462,onc_0462,3812,914,907,unheated
463,onc_0463,1883,1474,991.5,heated
464,onc_0464,1945,1465,943,heated
465,onc_0465,1674,1314,895,heated
466,onc_0466,2130,1087,720.5,heated
467,onc_0467,2787,974.5,683,heated
468,onc_0468,2145,1287,854,heated
469,onc_0469,4393,876.5,716,heated
470,onc_0470,1755,1069,725,heated
471,onc_0471,2641,947.5,651,heated
472,onc_0472,3469,975.5,862,heated
473,onc_0473,2325,1386,955.5,heated
474,onc_0474,2306,1374,1245,heated
475,onc_0475,2409,1245,826,heated
476,onc_0476,2201,1058,691.5,heated
477,onc_0477,3399,904,863,unheated
478,onc_0478,1802,1097,726.5,heated
479,onc_0479,3307,1003.5,921.5,unheated
480,onc_0480,1462,1388,1022.5,heated
481,onc_0481,2660,1205,1185,unheated
482,onc_0482,2345,1320,1247,unheated
483,onc_0483,1813,1095,766.5,heated
484,onc_0484,2496,938.5,707.5,heated
485,onc_0485,3892,970.5,654.5,heated
486,onc_0486,2615,1187,795.5,heated
487,onc_0487,1380,1267,924.5,heated
488,onc_0488,2425,964,647,heated
489,onc_0489,1449,1401,992,heated
490,onc_0490,3027,876.5,586.5,heated
491,onc_0491,2079,1465,1073,heated
492,onc_0492,1793,1303,1157,heated
493,onc_0493,2940,1134,963,heated
494,onc_0494,3400,935,930,unheated
495,onc_0495,1461,1482,1302,heated
496,onc_0496,1739,1232,903,heated
497,onc_0497,1831,1241,908.5,heated
498,onc_0498,3309,1107,774.5,heated
499,onc_0499,2091,1384,886.5,heated
500,onc_0500,1658,1343,1296,unheated
501,onc_0501,2305,1231,809,heated
502,onc_0502,2437,1298,1243,unheated
503,onc_0503,1963,1427,918,heated
504,onc_0504,1378,1294,845,heated
505,onc_0505,2630,923,609.5,heated
506,onc_0506,1573,1414,1097,heated
507,onc_0507,2291,1405,1158,heated
508,onc_0508,1565,1385,1354,unheated
509,onc_0509,1620,1414,1285,heated
510,onc_0510,2778,1244,852.5,heated
511,onc_0511,2553,1306,1049,heated
512,onc_0512,1479,1404,1366,unheated
513,onc_0513,3860,881,810.5,unheated
514,onc_0514,1938,1058,726.5,heated
515,onc_0515,2983,916,834.5,unheated
516,onc_0516,3498,1056,746.5,heated
517,onc_0517,2987,1058,1058,unheated
518,onc_0518,2462,1329,1008,heated
519,onc_0519,1330,1447,976,heated
520,onc_0520,1682,1318,983,heated
521,onc_0521,2113,1195,1102,unheated
522,onc_0522,3302,1070,969.5,heated
523,onc_0523,1484,1237,811.5,heated
524,onc_0524,2536,956,667,heated
525,onc_0525,2994,1185,794,heated
526,onc_0526,1486,1404,1166,heated
527,onc_0527,3122,926,880,unheated
528,onc_0528,2850,898.5,650.5,heated
529,onc_0529,2273,1237,826,heated
530,onc_0530,1813,1097,716,heated
531,onc_0531,2593,1295,949,heated
532,onc_0532,2321,1238,794,heated
533,onc_0533,1263,1497,1073,heated
534,onc_0534,1774,1285,925,heated
535,onc_0535,2284,967,698,heated
536,onc_0536,2343,974.5,663.5,heated
537,onc_0537,1838,1089,723.5,heated
538,onc_0538,3591,962,821,heated
539,onc_0539,1714,1391,1298,unheated
540,onc_0540,2513,950.5,636.5,heated
541,onc_0541,2316,1236,797.5,heated
542,onc_0542,2674,926.5,627.5,heated
543,onc_0543,1721,1248,807.5,heated
544,onc_0544,2794,1241,926.5,heated
545,onc_0545,2314,1132,732.5,heated
546,onc_0546,2818,909.5,642.5,heated
547,onc_0547,3423,974.5,810.5,heated
548,onc_0548,1793,1112,733.5,heated
549,onc_0549,1887,1422,986,heated
550,onc_0550,1782,1277,1239,unheated
551,onc_0551,4059,949.5,679.5,heated
552,onc_0552,1895,1112,777,heated
553,onc_0553,2711,1133,1121,unheated
554,onc_0554,1670,1070,788,heated
555,onc_0555,2374,1170,757.5,heated
556,onc_0556,1995,1420,925.5,heated
557,onc_0557,3345,1082,730.5,heated
558,onc_0558,1659,1306,1137,heated
559,onc_0559,1716,1295,948.5,heated
560,onc_0560,1919,1003,752.5,heated
561,onc_0561,4054,973.5,703.5,heated
562,onc_0562,1491,1361,938.5,heated
563,onc_0563,1912,1178,1027,heated
564,onc_0564,2111,1183,916.5,heated
565,onc_0565,2623,929.5,652.5,heated
566,onc_0566,1392,1412,970.5,heated
567,onc_0567,1592,1231,1031,heated
568,onc_0568,3228,1139,783.5,heated
569,onc_0569,2131,1123,742,heated
570,onc_0570,2443,968.5,645,heated
571,onc_0571,1844,1323,1026,heated
572,onc_0572,2367,959,642,heated
573,onc_0573,1444,1130,921,heated
574,onc_0574,2117,1305,835.5,heated
575,onc_0575,2872,1188,906,heated
576,onc_0576,2207,997,671,heated
577,onc_0577,2171,1471,1089,heated
578,onc_0578,1997,1379,890,heated
579,onc_0579,1929,1464,981.5,heated
580,onc_0580,2010,1375,889.5,heated
581,onc_0581,1415,1464,1122,heated
582,onc_0582,2232,1419,1203,heated
583,onc_0583,1397,1396,966,heated
584,onc_0584,1387,1392,924,heated
585,onc_0585,1779,1326,1189,heated
586,onc_0586,3526,1042,826,heated
587,onc_0587,2871,1213,778,heated
588,onc_0588,1932,1189,836.5,heated
589,onc_0589,1710,1132,823,heated
590,onc_0590,2038,1033,696,heated
591,onc_0591,3053,1088,1041,unheated
592,onc_0592,1643,1337,1133,heated
593,onc_0593,1895,1193,893,heated
594,onc_0594,3414,1018,973,unheated
595,onc_0595,2572,1295,910.5,heated
596,onc_0596,2162,1175,755.5,heated
597,onc_0597,2557,1315,985.5,heated
598,onc_0598,4640,872.5,675,heated
599,onc_0599,2047,1134,838.5,heated
600,onc_0600,4188,910,705,heated
601,onc_0601,3697,950,887.5,unheated
602,onc_0602,2069,1027,681,heated
603,onc_0603,1954,1441,939,heated
604,onc_0604,2781,1213,1032,heated
605,onc_0605,1790,1277,1093,heated
606,onc_0606,1336,1470,937.5,heated
607,onc_0607,1675,1350,1217,heated
608,onc_0608,2377,964,635.5,heated
609,onc_0609,1892,1069,736,heated
610,onc_0610,4049,995.5,795.5,heated
611,onc_0611,3857,1000,722,heated
612,onc_0612,3112,888,621,heated
613,onc_0613,2192,964.5,744.5,heated
614,onc_0614,2267,1452,1242,heated
615,onc_0615,2210,1207,998,heated
616,onc_0616,1311,1468,972,heated
617,onc_0617,2158,1338,860,heated
618,onc_0618,1685,1442,993,heated
619,onc_0619,2112,1369,876.5,heated
620,onc_0620,1818,1124,763.5,heated
621,onc_0621,2794,1214,996.5,heated
622,onc_0622,1303,1471,1065,heated
623,onc_0623,3725,949.5,777,heated
624,onc_0624,1659,1217,1043,heated
625,onc_0625,2024,1086,744.5,heated
626,onc_0626,1711,1119,798.5,heated
627,onc_0627,2193,986.5,720.5,heated
628,onc_0628,3265,898.5,689,heated
629,onc_0629,2174,1454,1013.5,heated
630,onc_0630,2190,1226,840.5,heated
631,onc_0631,2379,1349,926,heated
632,onc_0632,1934,1082,763,heated
633,onc_0633,3153,1147,892.5,heated
634,onc_0634,2292,1334,1308,unheated
635,onc_0635,2794,1176,1084,unheated
636,onc_0636,3714,919,822,unheated
637,onc_0637,2510,1234,1094,heated
638,onc_0638,1518,1401,1106,heated
639,onc_0639,3189,1070,958.5,heated
640,onc_0640,1725,1249,837,heated
641,onc_0641,1869,1072,700,heated
642,onc_0642,1857,1087,716,heated
643,onc_0643,2121,1250,1163,unheated
644,onc_0644,3264,1127,737,heated
645,onc_0645,1372,1441,952,heated
646,onc_0646,1830,1258,1228,unheated
647,onc_0647,2179,1000,674.5,heated
648,onc_0648,1601,1426,1322,heated
649,onc_0649,2021,1343,861.5,heated
650,onc_0650,2111,1351,866.5,heated
