simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
54,onc_0054,4377,908,612.5,heated
55,onc_0055,2553,1259,1117,heated
56,onc_0056,4287,925,573,heated
57,onc_0057,3045,1108,1007.5,heated
58,onc_0058,4687,879,612,heated
59,onc_0059,2192,1474,999,heated
60,onc_0060,4454,899,568.5,heated
61,onc_0061,2633,1266,769.5,heated
62,onc_0062,2262,1467,830.5,heated
63,onc_0063,2590,1238,1136,heated
64,onc_0064,2469,1301,1066,heated
65,onc_0065,2179,1456,829,heated
66,onc_0066,2872,1244,853.5,heated
67,onc_0067,4750,907.5,574.5,heated
68,onc_0068,2284,1404,1049,heated
69,onc_0069,2772,1259,873,heated
70,onc_0070,2923,1218,776,heated
71,onc_0071,2498,1313,1014.5,heated
72,onc_0072,2255,1438,993,heated
73,onc_0073,4002,964,595,heated
74,onc_0074,2517,1269,958.5,heated
75,onc_0075,4031,986,709,heated
76,onc_0076,3821,978,732,heated
77,onc_0077,2957,1187,730.5,heated
78,onc_0078,4368,910.5,688,heated
79,onc_0079,2820,1259,868.5,heated
80,onc_0080,2972,1193,769,heated
81,onc_0081,4997,884.5,653.5,heated
82,onc_0082,2418,1366,876,heated
83,onc_0083,3587,1050,741.5,heated
84,onc_0084,4006,936,779,heated
85,onc_0085,4204,922.5,624.5,heated
86,onc_0086,2245,1384,1024,heated
87,onc_0087,2380,1354,1073,heated
88,onc_0088,3489,1053,683,heated
89,onc_0089,4391,911.5,567,heated
90,onc_0090,3106,1168,793.5,heated
91,onc_0091,2089,1460,1163,heated
92,onc_0092,3547,998.5,822,heated
93,onc_0093,3257,1118,677.5,heated
94,onc_0094,3769,1017.5,621.5,heated
95,onc_0095,2698,1265,889.5,heated
96,onc_0096,4146,967,710,heated
97,onc_0097,3357,1086,661.5,heated
98,onc_0098,3695,1015.5,641,heated
99,onc_0099,4191,986,606.5,heated
100,onc_0100,2986,1189,747.5,heated
101,onc_0101,2416,1315,1090,heated
102,onc_0102,3253,1155,1008,heated
103,onc_0103,2846,1242,843.5,heated
104,onc_0104,3005,1209,707,heated
105,onc_0105,3883,960.5,782.5,heated
106,onc_0106,4569,880,582,heated
107,onc_0107,2971,1187,750,heated
108,onc_0108,4531,895,620.5,heated
109,onc_0109,3247,1123,725,heated
110,onc_0110,2751,1275,859.5,heated
111,onc_0111,3676,1017,648.5,heated
112,onc_0112,4110,934.5,720,heated
113,onc_0113,3577,1056,639,heated
114,onc_0114,3158,1136,677.5,heated
115,onc_0115,2824,1263,852,heated
116,onc_0116,2276,1416,909,heated
117,onc_0117,2565,1269,943.5,heated
118,onc_0118,4660,883.5,559.5,heated
119,onc_0119,3703,1001.5,998.5,unheated
