simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
361,onc_0361,2782,1080,877.5,heated
362,onc_0362,2208,1380,1102,heated
363,onc_0363,2446,1210,1030,heated
364,onc_0364,2294,1200,1147,unheated
365,onc_0365,1955,1329,1057,heated
366,onc_0366,2431,1076,880,heated
367,onc_0367,2004,1345,1118,heated
368,onc_0368,1807,1361,1106,heated
369,onc_0369,2067,1348,1241,heated
370,onc_0370,2109,1320,1087,heated
371,onc_0371,3301,995,841.5,heated
372,onc_0372,1597,1465,1200,heated
373,onc_0373,1908,1398,1393,unheated
374,onc_0374,2198,1215,971,heated
375,onc_0375,2359,1219,1014.5,heated
376,onc_0376,1988,1294,1038,heated
377,onc_0377,2002,1294,1243,unheated
378,onc_0378,1774,1331,1105,heated
379,onc_0379,3838,908,769,heated
380,onc_0380,1831,1342,1237,heated
381,onc_0381,2922,985,803,heated
382,onc_0382,2971,1122,960.5,heated
383,onc_0383,2093,1250,1172,unheated
384,onc_0384,1865,1278,1092,heated
385,onc_0385,2536,1069,915,heated
386,onc_0386,1903,1333,1064,heated
387,onc_0387,1980,1237,1061,heated
388,onc_0388,1658,1484,1370,heated
389,onc_0389,2606,1035,863,heated
390,onc_0390,1827,1319,1224,unheated
391,onc_0391,3055,1042,898,heated
392,onc_0392,1658,1468,1170,heated
393,onc_0393,1897,1337,1075,heated
394,onc_0394,2979,1041,876,heated
395,onc_0395,1785,1314,1088,heated
396,onc_0396,2634,1150,1135,unheated
397,onc_0397,1995,1351,1120,heated
398,onc_0398,2314,1288,1030,heated
399,onc_0399,2061,1195,979.5,heated
400,onc_0400,1583,1469,1237,heated
401,onc_0401,2045,1219,1001.5,heated
402,onc_0402,2204,1148,936.5,heated
403,onc_0403,3227,976,975.5,unheated
404,onc_0404,2790,976.5,798.5,heated
405,onc_0405,2954,1026,975,unheated
406,onc_0406,2238,1133,941.5,heated
407,onc_0407,1853,1417,1145,heated
408,onc_0408,1802,1306,1138,heated
409,onc_0409,2006,1369,1295,unheated
410,onc_0410,1825,1325,1083,heated
411,onc_0411,2249,1155,1015.5,heated
412,onc_0412,1691,1437,1255,heated
413,onc_0413,1953,1278,1202,unheated
414,onc_0414,3562,1010.5,853.5,heated
415,onc_0415,1944,1316,1313,unheated
416,onc_0416,2351,1216,1150,unheated
417,onc_0417,3094,960.5,794.5,heated
418,onc_0418,1799,1441,1161,heated
419,onc_0419,2296,1169,951,heated
420,onc_0420,1620,1441,1178,heated
421,onc_0421,1959,1371,1170,heated
422,onc_0422,2829,992,817,heated
423,onc_0423,2006,1349,1184,heated
424,onc_0424,3470,893.5,737.5,heated
425,onc_0425,1813,1428,1203,heated
426,onc_0426,3919,914.5,843,unheated
427,onc_0427,2963,1024,989.5,unheated
428,onc_0428,2554,1068,873.5,heated
429,onc_0429,1886,1396,1130,heated
430,onc_0430,1789,1346,1112,heated
431,onc_0431,3063,1087,895,heated
432,onc_0432,2329,1244,1191,unheated
433,onc_0433,2208,1186,961,heated
434,onc_0434,2970,985,811.5,heated
435,onc_0435,1969,1254,1013,heated
436,onc_0436,3020,969,801.5,heated
437,onc_0437,3761,892.5,752.5,heated
438,onc_0438,1791,1413,1125,heated
439,onc_0439,1716,1434,1160,heated
440,onc_0440,1656,1483,1183,heated
441,onc_0441,2705,1016,845,heated
442,onc_0442,1580,1478,1219,heated
443,onc_0443,3057,1033,871.5,heated
